City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Busselton,AU,54.09,broken clouds,-33.65,115.3333,Observatory Guest House
27,Dunedin,NZ,52.81,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
38,Hobart,AU,53.06,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
56,Portland,US,54.28,fog,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
70,New Norfolk,AU,52.72,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
71,Iberia,US,54.97,clear sky,29.9502,-91.7507,back to back rv park
72,Gat,IL,54.91,clear sky,31.61,34.7642,OlusHome
78,Chalmette,US,57.09,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
80,Lakes Entrance,AU,52.57,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
82,Tezu,IN,52.0,overcast clouds,27.9167,96.1667,Circuit House
101,Skibbereen,IE,51.12,overcast clouds,51.55,-9.2667,The West Cork Hotel
107,Saint George,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
119,Darnah,LY,58.73,overcast clouds,32.767,22.6367,فندق الفردوس
154,Kutum,SD,57.52,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
160,Hokitika,NZ,55.51,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
176,Warrnambool,AU,58.35,clear sky,-38.3833,142.4833,Lady Bay Resort
181,Muros,ES,52.84,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
188,Porto Empedocle,IT,55.36,overcast clouds,37.2934,13.5264,Hotel dei Pini
208,Havelock,US,51.98,broken clouds,34.8791,-76.9013,Sherwood Motel
238,Sagada,PH,57.13,overcast clouds,17.084,120.8996,Coffee Heritage House
255,Plouzane,FR,53.69,overcast clouds,48.3833,-4.6167,Lymina
267,Santiago De Chuco,PE,55.65,light rain,-8.15,-78.1833,Hostal San Cristóbal
288,Codrington,AU,57.51,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
289,Burnie,AU,58.95,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
292,Collie,AU,51.98,broken clouds,-33.3667,116.15,Collie Ridge
323,Christchurch,NZ,55.33,overcast clouds,-43.5333,172.6333,The George
337,Teknaf,BD,59.27,overcast clouds,20.8624,92.3058,Forestry Guesthouse
359,Orbetello,IT,51.8,scattered clouds,42.4408,11.2196,Argentario Golf Resort & Spa
368,Lithakia,GR,56.59,scattered clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
375,Tuskegee,US,56.08,clear sky,32.424,-85.6916,Macon Motel
383,Morgan City,US,55.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
386,Nishihara,JP,58.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
402,Houston,US,59.4,few clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
434,Moree,AU,59.02,clear sky,-29.4667,149.85,Molika Springs Motel
436,Dabat,ET,53.51,clear sky,12.9842,37.765,Haymanot hotel
450,North Bend,US,54.86,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
455,Sayyan,YE,54.28,broken clouds,15.1718,44.3244,ملاطف ابوحورية
470,Praia Da Vitoria,PT,59.76,mist,38.7333,-27.0667,Hotel Branco I
518,Lata,PT,52.81,clear sky,40.1629,-8.3327,Casa Maquia
532,Suez,EG,58.28,clear sky,29.9737,32.5263,Green House
552,Carballo,ES,53.29,broken clouds,43.213,-8.691,Pazo do Souto
563,Faya,SA,54.48,clear sky,18.3851,42.4509,املاك خالد الشعشوع
569,Tukrah,LY,57.85,overcast clouds,32.5341,20.5791,Lagrota restaurant
581,Suluq,LY,57.87,overcast clouds,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
594,Trapani,IT,55.35,overcast clouds,37.8333,12.6667,
601,Sakakah,SA,51.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
602,Mont-De-Marsan,FR,50.22,overcast clouds,44.0,-0.6667,Le moulin vieux
607,Dalby,AU,54.99,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
609,Ngorongoro,TZ,54.91,overcast clouds,-3.2397,35.4875,Simba Special Campsite B
638,Tahta,EG,57.56,clear sky,26.7693,31.5021,shady waheed
645,Santa Engracia,ES,50.14,clear sky,41.9406,-1.3245,Casa rural Santa Engracia
647,Mount Gambier,AU,59.36,clear sky,-37.8333,140.7667,The Commodore
661,Tarragona,ES,53.26,clear sky,41.129,1.249,Hotel SB Ciutat de Tarragona
665,Launceston,AU,56.84,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
683,Anahuac,MX,58.5,clear sky,27.2333,-100.15,HOTEL SAN FELIPE
694,Llanes,ES,51.89,broken clouds,43.4198,-4.7549,Hotel La Paz
