City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Mayo,38.8876,-76.5119,38.55,39,0,7.0,US,2022-02-06 18:43:01,clear sky
1,Torbay,47.6666,-52.7314,16.75,81,100,17.27,CA,2022-02-06 18:44:52,light snow
2,Kavieng,-2.5744,150.7967,81.16,77,82,3.47,PG,2022-02-06 18:44:52,broken clouds
3,Srednekolymsk,67.45,153.6833,-36.83,100,58,1.28,RU,2022-02-06 18:44:53,broken clouds
4,Thinadhoo,0.5333,72.9333,82.62,69,75,11.05,MV,2022-02-06 18:44:53,broken clouds
5,La Asuncion,11.0333,-63.8628,85.73,58,30,18.41,VE,2022-02-06 18:44:53,scattered clouds
6,Beringovskiy,63.05,179.3167,-18.35,98,46,7.49,RU,2022-02-06 18:44:53,scattered clouds
7,Wajir,1.7471,40.0573,87.76,30,0,0.0,KE,2022-02-06 18:44:54,clear sky
8,Mount Isa,-20.7333,139.5,76.77,65,75,5.75,AU,2022-02-06 18:44:54,broken clouds
9,Dikson,73.5069,80.5464,-20.54,99,94,9.64,RU,2022-02-06 18:44:54,overcast clouds
10,Busselton,-33.65,115.3333,54.09,53,64,17.92,AU,2022-02-06 18:44:55,broken clouds
11,Oussouye,12.485,-16.5469,96.98,38,1,7.07,SN,2022-02-06 18:44:55,clear sky
12,Hermanus,-34.4187,19.2345,68.9,89,9,8.19,ZA,2022-02-06 18:44:55,clear sky
13,Benguela,-12.5763,13.4055,76.89,68,100,4.52,AO,2022-02-06 18:47:48,overcast clouds
14,Severo-Kurilsk,50.6789,156.125,29.68,83,100,14.97,RU,2022-02-06 18:44:56,overcast clouds
15,Tiksi,71.6872,128.8694,-14.96,98,100,3.71,RU,2022-02-06 18:44:56,overcast clouds
16,Ushuaia,-54.8,-68.3,60.46,59,75,17.27,AR,2022-02-06 18:41:51,broken clouds
17,Avera,33.194,-82.5271,49.71,44,100,9.4,US,2022-02-06 18:44:56,overcast clouds
18,Thompson,55.7435,-97.8558,-11.04,64,20,4.61,CA,2022-02-06 18:44:57,few clouds
19,Saint-Augustin,51.226,-58.6502,-1.89,71,6,14.27,CA,2022-02-06 18:44:57,clear sky
20,Butaritari,3.0707,172.7902,81.39,77,34,15.23,KI,2022-02-06 18:44:57,light rain
21,Chuy,-33.6971,-53.4616,75.27,39,3,16.82,UY,2022-02-06 18:44:58,clear sky
22,Cape Town,-33.9258,18.4232,69.12,73,20,5.75,ZA,2022-02-06 18:42:16,few clouds
23,Dudinka,69.4058,86.1778,-33.32,100,16,4.41,RU,2022-02-06 18:44:58,few clouds
24,Khandyga,62.6667,135.6,-39.08,99,100,2.35,RU,2022-02-06 18:44:58,overcast clouds
25,Rikitea,-23.1203,-134.9692,79.09,70,2,16.75,PF,2022-02-06 18:39:59,clear sky
26,Nikolskoye,59.7035,30.7861,35.87,94,100,12.28,RU,2022-02-06 18:44:59,light snow
27,Dunedin,-45.8742,170.5036,52.81,79,0,1.01,NZ,2022-02-06 18:44:59,clear sky
28,Bredasdorp,-34.5322,20.0403,70.92,73,0,8.05,ZA,2022-02-06 18:45:00,clear sky
29,Amahai,-3.3333,128.9167,77.99,84,79,4.5,ID,2022-02-06 18:45:00,broken clouds
30,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,100,18.41,CA,2022-02-06 18:45:00,light snow
31,Bluff,-46.6,168.3333,41.81,78,6,4.79,NZ,2022-02-06 18:45:01,clear sky
32,Avarua,-21.2078,-159.775,77.05,88,85,10.36,CK,2022-02-06 18:45:01,overcast clouds
33,Yellowknife,62.456,-114.3525,-8.88,77,75,12.66,CA,2022-02-06 18:41:27,light snow
34,Albany,42.6001,-73.9662,27.82,49,13,3.0,US,2022-02-06 18:45:01,few clouds
35,Zwedru,6.0667,-8.1281,85.15,52,87,5.64,LR,2022-02-06 18:45:02,overcast clouds
36,Beckley,37.7782,-81.1882,39.7,57,0,1.99,US,2022-02-06 18:43:38,clear sky
37,Tuatapere,-46.1333,167.6833,41.83,84,5,3.0,NZ,2022-02-06 18:42:46,clear sky
38,Hobart,-42.8794,147.3294,53.06,87,5,9.22,AU,2022-02-06 18:45:02,clear sky
39,Wagar,16.1525,36.2032,70.93,40,4,12.44,SD,2022-02-06 18:45:03,clear sky
40,Campos Altos,-19.6961,-46.1714,66.16,97,100,2.44,BR,2022-02-06 18:45:03,overcast clouds
41,Acopiara,-6.0953,-39.4525,91.56,36,18,2.95,BR,2022-02-06 18:45:03,few clouds
42,Barrow,71.2906,-156.7887,-23.78,76,40,6.91,US,2022-02-06 18:45:04,haze
43,Zapolyarnyy,69.4154,30.8136,18.68,97,50,7.63,RU,2022-02-06 18:45:04,scattered clouds
44,Centerville,39.6284,-84.1594,38.28,58,0,3.0,US,2022-02-06 18:45:04,moderate rain
45,Esperance,-33.8667,121.9,62.44,71,100,23.47,AU,2022-02-06 18:45:04,overcast clouds
46,Norman Wells,65.282,-126.8329,-14.76,70,75,12.66,CA,2022-02-06 18:45:05,broken clouds
47,Ljungby,56.8332,13.9408,34.21,89,92,7.05,SE,2022-02-06 18:48:51,overcast clouds
48,Poum,-20.2333,164.0167,80.08,83,100,9.98,NC,2022-02-06 18:48:51,overcast clouds
49,Sitka,57.0531,-135.33,44.49,81,100,18.41,US,2022-02-06 18:44:42,moderate rain
50,Pravia,43.4906,-6.1508,48.07,76,0,3.44,ES,2022-02-06 18:48:52,clear sky
51,Ayan,56.45,138.1667,-5.62,77,90,9.46,RU,2022-02-06 18:48:52,overcast clouds
52,Hilo,19.7297,-155.09,70.25,92,100,5.75,US,2022-02-06 18:46:37,heavy intensity rain
53,Elk Grove,38.4088,-121.3716,65.57,64,0,1.01,US,2022-02-06 18:48:52,clear sky
54,Primorsko,42.2667,27.7667,43.21,81,2,5.5,BG,2022-02-06 18:48:53,clear sky
55,Parrita,9.5201,-84.3225,91.26,58,4,8.63,CR,2022-02-06 18:48:53,clear sky
56,Portland,45.5234,-122.6762,54.28,81,100,3.0,US,2022-02-06 18:45:10,fog
57,Nara,34.6851,135.8049,38.48,62,45,2.42,JP,2022-02-06 18:48:53,scattered clouds
58,Gawler,-34.6,138.7333,77.16,39,5,12.68,AU,2022-02-06 18:48:54,clear sky
59,Skagen,57.7209,10.5839,38.26,68,24,23.51,DK,2022-02-06 18:48:54,few clouds
60,Newport,51.5877,-2.9984,48.85,77,15,5.99,GB,2022-02-06 18:45:52,few clouds
61,Morehead,37.2711,-87.1764,42.94,58,0,3.0,US,2022-02-06 18:48:55,clear sky
62,Carutapera,-1.195,-46.02,80.4,83,100,6.8,BR,2022-02-06 18:48:55,moderate rain
63,Carnarvon,-24.8667,113.6333,75.27,69,100,21.85,AU,2022-02-06 18:46:05,overcast clouds
