City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mason City,US,2022-02-01 16:50:34,43.1536,-93.201,24.89,72,40,24.16
1,Sobolevo,RU,2022-02-01 16:50:34,54.4299,31.8996,19.31,93,98,10.45
2,Havoysund,NO,2022-02-01 16:50:35,70.9963,24.6622,22.08,70,89,10.02
3,Arraial Do Cabo,BR,2022-02-01 16:50:36,-22.9661,-42.0278,85.96,74,75,12.66
4,Tairua,NZ,2022-02-01 16:50:36,-37.0167,175.85,70.09,88,99,11.61
5,Mount Isa,AU,2022-02-01 16:50:38,-20.7333,139.5,78.57,83,40,5.75
6,Busselton,AU,2022-02-01 16:50:38,-33.65,115.3333,61.05,62,5,19.01
7,Qaanaaq,GL,2022-02-01 16:50:39,77.484,-69.3632,-15.93,85,100,8.9
8,Bataipora,BR,2022-02-01 16:50:40,-22.2953,-53.2711,86.38,55,82,4.38
9,Bambous Virieux,MU,2022-02-01 16:50:40,-20.3428,57.7575,79.21,94,75,19.57
10,Albany,US,2022-02-01 16:46:43,42.6001,-73.9662,34.66,50,7,3.0
11,Milkovo,RU,2022-02-01 16:50:41,54.7167,158.6167,20.05,91,100,12.48
12,Karratha,AU,2022-02-01 16:50:42,-20.7377,116.8463,88.18,57,99,6.15
13,Hilo,US,2022-02-01 16:50:43,19.7297,-155.09,66.25,83,100,6.91
14,Thompson,CA,2022-02-01 16:47:36,55.7435,-97.8558,-20.04,69,75,13.8
15,Punta Alta,AR,2022-02-01 16:47:14,-38.8759,-62.0736,89.24,28,24,13.69
16,Sabla,NG,2022-02-01 16:50:44,12.7525,4.7077,81.39,9,0,8.77
17,Punta Arenas,CL,2022-02-01 16:50:34,-53.15,-70.9167,51.82,57,40,35.68
18,Maniitsoq,GL,2022-02-01 16:50:46,65.4167,-52.9,9.52,85,100,2.17
19,Georgetown,MY,2022-02-01 16:48:31,5.4112,100.3354,85.95,83,20,5.01
20,Mataura,NZ,2022-02-01 16:47:18,-46.1927,168.8643,61.48,94,53,4.41
21,Port Alfred,ZA,2022-02-01 16:50:47,-33.5906,26.891,77.86,80,100,7.9
22,Port Elizabeth,ZA,2022-02-01 16:50:48,-33.918,25.5701,80.1,69,20,4.61
23,Pochutla,MX,2022-02-01 16:50:49,15.7432,-96.4661,85.82,37,0,10.27
24,Yellowknife,CA,2022-02-01 16:50:49,62.456,-114.3525,-26.59,75,0,1.99
25,Jamestown,US,2022-02-01 16:47:35,42.097,-79.2353,34.52,36,89,7.0
26,Ushuaia,AR,2022-02-01 16:50:50,-54.8,-68.3,46.02,81,75,29.93
27,Castro,BR,2022-02-01 16:50:51,-24.7911,-50.0119,78.31,60,35,0.69
28,Dikson,RU,2022-02-01 16:47:19,73.5069,80.5464,1.83,92,100,19.22
29,Saint-Augustin,CA,2022-02-01 16:50:52,51.226,-58.6502,2.75,74,1,15.55
30,Ribeira Grande,PT,2022-02-01 16:50:53,38.5167,-28.7,63.0,72,20,20.71
31,Kodiak,US,2022-02-01 16:50:54,57.79,-152.4072,35.11,93,100,21.85
32,Wels,AT,2022-02-01 16:50:55,48.1667,14.0333,36.95,83,75,5.01
33,Provideniya,RU,2022-02-01 16:50:56,64.3833,-173.3,6.48,69,26,21.99
34,Puerto Ayora,EC,2022-02-01 16:48:35,-0.7393,-90.3518,82.36,85,83,5.01
35,Rikitea,PF,2022-02-01 16:50:57,-23.1203,-134.9692,77.9,68,35,7.85
36,Chuy,UY,2022-02-01 16:50:58,-33.6971,-53.4616,75.79,38,0,5.46
37,Zhenjiang,CN,2022-02-01 16:50:59,32.2092,119.4342,35.8,75,47,1.01
38,Ahipara,NZ,2022-02-01 16:50:59,-35.1667,173.1667,69.1,88,100,15.21
39,Moerai,PF,2022-02-01 16:51:00,-22.4333,-151.3333,79.27,77,85,17.72
40,Hermanus,ZA,2022-02-01 16:51:01,-34.4187,19.2345,77.9,79,4,2.8
41,Rokupr,SL,2022-02-01 16:51:01,8.6717,-12.395,101.57,8,62,3.94
42,Omsukchan,RU,2022-02-01 16:51:02,62.5333,155.8,-8.34,94,100,4.97
43,Bodaybo,RU,2022-02-01 16:51:03,57.8506,114.1933,-9.99,99,100,0.76
44,Bluff,NZ,2022-02-01 16:51:04,-46.6,168.3333,61.81,91,64,6.51
45,Eyl,SO,2022-02-01 16:51:05,7.9803,49.8164,76.37,78,83,22.17
46,Gorom-Gorom,BF,2022-02-01 16:51:05,14.4439,-0.2361,83.39,5,43,12.12
47,Bethel,US,2022-02-01 16:52:06,41.3712,-73.414,35.19,58,0,3.0
48,Eureka,US,2022-02-01 16:52:07,40.8021,-124.1637,38.59,84,1,1.99
49,Wageningen,NL,2022-02-01 16:52:08,51.9667,5.6667,50.9,84,100,14.97
50,Atuona,PF,2022-02-01 16:49:48,-9.8,-139.0333,78.1,78,16,22.1
51,Santo Antonio Do Ica,BR,2022-02-01 16:52:09,-3.1022,-67.9397,90.81,52,77,4.94
